timestamp,sector,energy_kWh,temperature_C,holiday_flag,carbon_kgCO2e,anomaly_flag
2024-01-01 00:00:00,Mixed,0.4604,5.859999999999999,1,0.1823184,0
2024-01-01 01:00:00,Mixed,0.42579999999999996,5.52,1,0.16861679999999998,0
2024-01-01 02:00:00,Mixed,0.2656,5.5,1,0.1051776,0
2024-01-01 03:00:00,Mixed,0.254,4.04,1,0.100584,0
2024-01-01 04:00:00,Mixed,0.2266,7.699999999999999,1,0.0897336,0
2024-01-01 05:00:00,Mixed,0.2828,4.44,1,0.1119888,0
2024-01-01 06:00:00,Mixed,0.563,6.279999999999999,1,0.22294799999999998,0
2024-01-01 07:00:00,Mixed,0.7899999999999999,6.24,1,0.31283999999999995,0
2024-01-01 08:00:00,Mixed,0.8617999999999999,8.98,1,0.3412728,0
2024-01-01 09:00:00,Mixed,0.6416000000000001,12.120000000000001,1,0.2540736,0
2024-01-01 10:00:00,Mixed,0.5509999999999999,11.42,1,0.21819599999999997,0
2024-01-01 11:00:00,Mixed,0.4266,11.58,1,0.1689336,0
2024-01-01 12:00:00,Mixed,0.36460000000000004,12.219999999999999,1,0.14438160000000003,0
2024-01-01 13:00:00,Mixed,0.455,13.7,1,0.18018,0
2024-01-01 14:00:00,Mixed,0.4052,17.52,1,0.1604592,0
2024-01-01 15:00:00,Mixed,0.6474000000000001,12.86,1,0.2563704,0
2024-01-01 16:00:00,Mixed,0.5544,15.639999999999999,1,0.21954240000000003,0
2024-01-01 17:00:00,Mixed,0.7674,13.739999999999998,1,0.3038904,0
2024-01-01 18:00:00,Mixed,0.7562,15.36,1,0.2994552,0
2024-01-01 19:00:00,Mixed,0.7019999999999998,11.54,1,0.27799199999999996,0
2024-01-01 20:00:00,Mixed,0.5996,9.899999999999999,1,0.23744160000000003,0
2024-01-01 21:00:00,Mixed,0.48560000000000003,10.16,1,0.1922976,0
2024-01-01 22:00:00,Mixed,0.446,10.36,1,0.17661600000000002,0
2024-01-01 23:00:00,Mixed,0.39499999999999996,8.559999999999999,1,0.15641999999999998,0
2024-01-02 00:00:00,Mixed,0.567,5.5,0,0.22453199999999998,0
2024-01-02 01:00:00,Mixed,0.4886,4.74,0,0.1934856,0
2024-01-02 02:00:00,Mixed,0.16159999999999997,2.88,0,0.06399359999999998,0
2024-01-02 03:00:00,Mixed,0.189,7.58,0,0.074844,0
2024-01-02 04:00:00,Mixed,0.29159999999999997,4.32,0,0.1154736,0
2024-01-02 05:00:00,Mixed,0.5336000000000001,6.46,0,0.21130560000000004,0
2024-01-02 06:00:00,Mixed,0.7794000000000001,4.98,0,0.3086424,0
2024-01-02 07:00:00,Mixed,1.0776,7.18,0,0.42672959999999993,0
2024-01-02 08:00:00,Mixed,1.0694,8.48,0,0.4234824,0
2024-01-02 09:00:00,Mixed,1.137,10.36,0,0.450252,0
2024-01-02 10:00:00,Mixed,0.8340000000000001,10.08,0,0.330264,0
2024-01-02 11:00:00,Mixed,0.737,13.3,0,0.291852,0
2024-01-02 12:00:00,Mixed,0.7744,12.719999999999999,0,0.3066624,0
2024-01-02 13:00:00,Mixed,0.7684,14.120000000000001,0,0.3042864,0
2024-01-02 14:00:00,Mixed,0.7268,16.12,0,0.2878128,0
2024-01-02 15:00:00,Mixed,0.8122,16.46,0,0.32163120000000006,0
2024-01-02 16:00:00,Mixed,0.7092,14.919999999999998,0,0.2808432,0
2024-01-02 17:00:00,Mixed,0.9669999999999999,15.26,0,0.38293199999999994,0
2024-01-02 18:00:00,Mixed,0.8808,12.98,0,0.3487968,0
2024-01-02 19:00:00,Mixed,0.7512,13.559999999999999,0,0.2974752,0
2024-01-02 20:00:00,Mixed,0.386,11.82,0,0.152856,0
2024-01-02 21:00:00,Mixed,0.2966,12.219999999999999,0,0.11745359999999999,0
2024-01-02 22:00:00,Mixed,0.4666,7.16,0,0.1847736,0
2024-01-02 23:00:00,Mixed,0.3144,7.24,0,0.12450240000000001,0
2024-01-03 00:00:00,Mixed,0.6504,7.24,0,0.2575584,0
2024-01-03 01:00:00,Mixed,0.3482,5.24,0,0.13788720000000002,0
