timestamp,sector,energy_kWh,temperature_C,holiday_flag,carbon_kgCO2e,anomaly_flag
2024-01-01 00:00:00,Mixed,0.4604,5.859999999999999,1,0.1823184,0
2024-01-01 01:00:00,Mixed,0.4257999999999999,5.52,1,0.1686167999999999,0
2024-01-01 02:00:00,Mixed,0.2656,5.5,1,0.1051776,0
2024-01-01 03:00:00,Mixed,0.254,4.04,1,0.100584,0
2024-01-01 04:00:00,Mixed,0.2266,7.699999999999999,1,0.0897336,0
2024-01-01 05:00:00,Mixed,0.2828,4.44,1,0.1119888,0
2024-01-01 06:00:00,Mixed,0.563,6.279999999999999,1,0.2229479999999999,0
2024-01-01 07:00:00,Mixed,0.7899999999999999,6.24,1,0.3128399999999999,0
2024-01-01 08:00:00,Mixed,0.8617999999999999,8.98,1,0.3412728,0
2024-01-01 09:00:00,Mixed,0.6416000000000001,12.12,1,0.2540736,0
2024-01-01 10:00:00,Mixed,0.5509999999999999,11.42,1,0.2181959999999999,0
2024-01-01 11:00:00,Mixed,0.4266,11.58,1,0.1689336,0
2024-01-01 12:00:00,Mixed,0.3646,12.22,1,0.1443816,0
2024-01-01 13:00:00,Mixed,0.455,13.7,1,0.18018,0
2024-01-01 14:00:00,Mixed,0.4052,17.52,1,0.1604592,0
2024-01-01 15:00:00,Mixed,0.6474000000000001,12.86,1,0.2563704,0
2024-01-01 16:00:00,Mixed,0.5544,15.64,1,0.2195424,0
2024-01-01 17:00:00,Mixed,0.7674,13.739999999999998,1,0.3038904,0
2024-01-01 18:00:00,Mixed,0.7562,15.36,1,0.2994552,0
2024-01-01 19:00:00,Mixed,0.7019999999999998,11.54,1,0.2779919999999999,0
2024-01-01 20:00:00,Mixed,0.5996,9.9,1,0.2374416,0
2024-01-01 21:00:00,Mixed,0.4856,10.16,1,0.1922976,0
2024-01-01 22:00:00,Mixed,0.446,10.36,1,0.176616,0
2024-01-01 23:00:00,Mixed,0.3949999999999999,8.559999999999999,1,0.1564199999999999,0
2024-01-02 00:00:00,Mixed,0.567,5.5,0,0.2245319999999999,0
2024-01-02 01:00:00,Mixed,0.4886,4.74,0,0.1934856,0
2024-01-02 02:00:00,Mixed,0.1615999999999999,2.88,0,0.0639935999999999,0
2024-01-02 03:00:00,Mixed,0.189,7.58,0,0.074844,0
2024-01-02 04:00:00,Mixed,0.2915999999999999,4.32,0,0.1154736,0
2024-01-02 05:00:00,Mixed,0.5336000000000001,6.46,0,0.2113056,0
2024-01-02 06:00:00,Mixed,0.7794000000000001,4.98,0,0.3086424,0
